DATE,WSBASE
1996-09-04,453.517
1996-09-11,454.179
1996-09-18,450.855
1996-09-25,450.450
1996-10-02,449.785
1996-10-09,450.833
1996-10-16,453.895
1996-10-23,452.996
1996-10-30,450.512
1996-11-06,453.848
1996-11-13,455.618
1996-11-20,457.511
1996-11-27,456.322
1996-12-04,463.781
1996-12-11,460.481
1996-12-18,463.574
1996-12-25,466.214
1997-01-01,471.856
1997-01-08,467.816
1997-01-15,464.572
1997-01-22,458.108
1997-01-29,458.518
1997-02-05,457.314
1997-02-12,458.405
1997-02-19,459.899
1997-02-26,461.913
1997-03-05,460.520
1997-03-12,462.242
1997-03-19,460.643
1997-03-26,462.926
1997-04-02,462.859
1997-04-09,466.936
1997-04-16,464.784
1997-04-23,466.805
1997-04-30,462.829
1997-05-07,466.623
1997-05-14,465.006
1997-05-21,466.675
1997-05-28,467.238
1997-06-04,471.515
1997-06-11,466.969
1997-06-18,470.067
1997-06-25,467.812
1997-07-02,473.142
1997-07-09,475.441
1997-07-16,475.085
1997-07-23,470.562
1997-07-30,471.640
1997-08-06,472.283
1997-08-13,474.306
1997-08-20,473.804
1997-08-27,474.681
1997-09-03,477.454
1997-09-10,477.168
1997-09-17,473.682
1997-09-24,474.772
1997-10-01,475.253
1997-10-08,474.721
1997-10-15,477.942
1997-10-22,478.603
1997-10-29,476.572
1997-11-05,481.286
1997-11-12,482.718
1997-11-19,484.484
1997-11-26,484.371
1997-12-03,491.664
1997-12-10,488.994
1997-12-17,489.176
1997-12-24,495.374
1997-12-31,500.259
1998-01-07,500.773
1998-01-14,491.942
1998-01-21,486.268
1998-01-28,487.425
1998-02-04,486.498
1998-02-11,485.115
1998-02-18,488.574
1998-02-25,490.705
1998-03-04,489.753
1998-03-11,491.331
1998-03-18,490.990
1998-03-25,490.361
1998-04-01,492.435
1998-04-08,491.775
1998-04-15,494.348
1998-04-22,497.040
1998-04-29,492.287
1998-05-06,493.700
1998-05-13,491.536
1998-05-20,497.287
1998-05-27,495.493
1998-06-03,499.753
1998-06-10,496.029
1998-06-17,498.956
1998-06-24,496.171
1998-07-01,501.353
1998-07-08,502.099
1998-07-15,504.919
1998-07-22,500.408
1998-07-29,502.425
1998-08-05,504.107
1998-08-12,505.808
1998-08-19,503.012
1998-08-26,504.525
1998-09-02,506.832
1998-09-09,509.195
1998-09-16,509.506
1998-09-23,507.360
1998-09-30,509.302
1998-10-07,510.543
1998-10-14,511.511
1998-10-21,513.882
1998-10-28,511.248
1998-11-04,516.437
1998-11-11,515.305
1998-11-18,518.892
1998-11-25,517.827
1998-12-02,525.083
1998-12-09,520.309
1998-12-16,525.555
1998-12-23,527.566
1998-12-30,532.612
1999-01-06,538.225
1999-01-13,524.178
1999-01-20,527.913
1999-01-27,523.260
1999-02-03,522.024
1999-02-10,525.643
1999-02-17,526.326
1999-02-24,527.916
1999-03-03,528.556
1999-03-10,530.536
1999-03-17,529.433
1999-03-24,531.195
1999-03-31,532.606
1999-04-07,533.441
1999-04-14,535.020
1999-04-21,534.814
1999-04-28,533.958
1999-05-05,540.708
1999-05-12,537.362
1999-05-19,541.745
1999-05-26,538.361
1999-06-02,547.776
1999-06-09,542.968
1999-06-16,545.001
1999-06-23,540.276
1999-06-30,547.559
1999-07-07,548.094
1999-07-14,550.059
1999-07-21,546.652
1999-07-28,549.486
1999-08-04,550.005
1999-08-11,550.360
1999-08-18,550.975
1999-08-25,550.515
1999-09-01,552.723
1999-09-08,556.907
1999-09-15,556.776
1999-09-22,557.351
1999-09-29,556.517
1999-10-06,560.639
1999-10-13,562.935
1999-10-20,565.942
1999-10-27,565.438
1999-11-03,572.822
1999-11-10,574.530
1999-11-17,584.001
1999-11-24,584.531
1999-12-01,595.579
1999-12-08,597.010
1999-12-15,605.682
1999-12-22,614.366
1999-12-29,632.846
2000-01-05,642.543
2000-01-12,611.066
2000-01-19,592.901
2000-01-26,584.983
